search_query,job_title,company,loc,posting_recency,employment_type,work_arrangement_type,experience_lvl,skill,min_years_of_exp
Data Engineer,remote Business Development Manager - REMOTE,Jobgether,"Dubai,United Arab Emirates",22 days ago,Full Time,Remote,Experienced,Marketing,3.0
Data Engineer,remote Business Development Manager - REMOTE,Jobgether,"Dubai,United Arab Emirates",22 days ago,Full Time,Remote,Experienced,Customer Service,3.0
Data Engineer,remote Business Development Manager - REMOTE,Jobgether,"Dubai,United Arab Emirates",22 days ago,Full Time,Remote,Experienced,Customer Support,3.0
Data Engineer,MEP Supervisor,Al Khozama Investment,"Riyadh,Saudi Arabia",21 days ago,Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,3.0
Data Engineer,MEP Supervisor,Al Khozama Investment,"Riyadh,Saudi Arabia",21 days ago,Full Time,On-site,Experienced,Installation/Maintenance/Repair,3.0
Data Engineer,MEP Supervisor,Al Khozama Investment,"Riyadh,Saudi Arabia",21 days ago,Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,3.0
Data Engineer,MEP Supervisor,Al Khozama Investment,"Riyadh,Saudi Arabia",21 days ago,Full Time,On-site,Experienced,mechanical engineering,3.0
Data Engineer,MEP Supervisor,Al Khozama Investment,"Riyadh,Saudi Arabia",21 days ago,Full Time,On-site,Experienced,engineering,3.0
Data Engineer,MEP Supervisor,Al Khozama Investment,"Riyadh,Saudi Arabia",21 days ago,Full Time,On-site,Experienced,mep,3.0
Data Engineer,MEP Supervisor,Al Khozama Investment,"Riyadh,Saudi Arabia",21 days ago,Full Time,On-site,Experienced,electrical engineering,3.0
Data Engineer,MEP Supervisor,Al Khozama Investment,"Riyadh,Saudi Arabia",21 days ago,Full Time,On-site,Experienced,plumbing,3.0
Data Engineer,MEP Supervisor,Al Khozama Investment,"Riyadh,Saudi Arabia",21 days ago,Full Time,On-site,Experienced,construction,3.0
Data Engineer,MEP Supervisor,Al Khozama Investment,"Riyadh,Saudi Arabia",21 days ago,Full Time,On-site,Experienced,maintenance,3.0
Data Engineer,Trainee - Finance,Chalhoub Group,"Dubai,United Arab Emirates",21 days ago,Full Time,On-site,Entry Level,Accounting/Finance,1.0
Data Engineer,Trainee - Finance,Chalhoub Group,"Dubai,United Arab Emirates",21 days ago,Full Time,On-site,Entry Level,Administration,1.0
Data Engineer,Trainee - Finance,Chalhoub Group,"Dubai,United Arab Emirates",21 days ago,Full Time,On-site,Entry Level,Human Resources,1.0
Data Engineer,Trainee - Finance,Chalhoub Group,"Dubai,United Arab Emirates",21 days ago,Full Time,On-site,Entry Level,Recruitment,1.0
Data Engineer,Trainee - Finance,Chalhoub Group,"Dubai,United Arab Emirates",21 days ago,Full Time,On-site,Entry Level,Accounting,1.0
Data Engineer,Trainee - Finance,Chalhoub Group,"Dubai,United Arab Emirates",21 days ago,Full Time,On-site,Entry Level,Human Resources (HR),1.0
Data Engineer,Trainee - Finance,Chalhoub Group,"Dubai,United Arab Emirates",21 days ago,Full Time,On-site,Entry Level,Microsoft Office,1.0
Data Engineer,Trainee - Finance,Chalhoub Group,"Dubai,United Arab Emirates",21 days ago,Full Time,On-site,Entry Level,Finance,1.0
Data Engineer,Trainee - Finance,Chalhoub Group,"Dubai,United Arab Emirates",21 days ago,Full Time,On-site,Entry Level,Administration,1.0
Data Engineer,Trainee - Finance,Chalhoub Group,"Dubai,United Arab Emirates",21 days ago,Full Time,On-site,Entry Level,Information Technology (IT),1.0
Data Engineer,"Senior Analyst, Investor Relations",MyPetroCareer.com,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,IT/Software Development,3.0
Data Engineer,"Senior Analyst, Investor Relations",MyPetroCareer.com,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,Analyst/Research,3.0
Data Engineer,"Senior Analyst, Investor Relations",MyPetroCareer.com,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,Engineering - Telecom/Technology,3.0
Data Engineer,"Senior Analyst, Investor Relations",MyPetroCareer.com,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,information technology (it),3.0
Data Engineer,"Senior Analyst, Investor Relations",MyPetroCareer.com,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,computer science,3.0
Data Engineer,"Senior Analyst, Investor Relations",MyPetroCareer.com,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,software development,3.0
Data Engineer,"Senior Analyst, Investor Relations",MyPetroCareer.com,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,software engineering,3.0
Data Engineer,"Senior Analyst, Investor Relations",MyPetroCareer.com,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,analysis,3.0
Data Engineer,"Senior Analyst, Investor Relations",MyPetroCareer.com,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,finance,3.0
Data Engineer,"Senior Analyst, Investor Relations",MyPetroCareer.com,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,accounting,3.0
Data Engineer,IT Application Expert,stc,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Installation/Maintenance/Repair,3.0
Data Engineer,IT Application Expert,stc,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,IT/Software Development,3.0
Data Engineer,IT Application Expert,stc,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Engineering - Telecom/Technology,3.0
Data Engineer,IT Application Expert,stc,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Information Technology (IT),3.0
Data Engineer,IT Application Expert,stc,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Computer Science,3.0
Data Engineer,IT Application Expert,stc,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,SQL,3.0
Data Engineer,IT Application Expert,stc,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Application Support,3.0
Data Engineer,IT Application Expert,stc,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Software Development,3.0
Data Engineer,IT Application Expert,stc,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Software,3.0
Data Engineer,IT Application Expert,stc,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Software Engineering,3.0
Data Engineer,PMIS Technical Specialist,Parsons Corporation,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Installation/Maintenance/Repair,3.0
Data Engineer,PMIS Technical Specialist,Parsons Corporation,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,IT/Software Development,3.0
Data Engineer,PMIS Technical Specialist,Parsons Corporation,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Engineering - Telecom/Technology,3.0
Data Engineer,PMIS Technical Specialist,Parsons Corporation,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Information Technology (IT),3.0
Data Engineer,PMIS Technical Specialist,Parsons Corporation,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Technical Support,3.0
Data Engineer,PMIS Technical Specialist,Parsons Corporation,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Computer Science,3.0
Data Engineer,PMIS Technical Specialist,Parsons Corporation,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Customer Service,3.0
Data Engineer,PMIS Technical Specialist,Parsons Corporation,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Customer Support,3.0
Data Engineer,PMIS Technical Specialist,Parsons Corporation,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Customer Care,3.0
Data Engineer,PMIS Technical Specialist,Parsons Corporation,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Installation,3.0
Data Engineer,Sr. Technician I,The Helicopter Company,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,3.0
Data Engineer,Sr. Technician I,The Helicopter Company,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,IT/Software Development,3.0
Data Engineer,Sr. Technician I,The Helicopter Company,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Engineering - Telecom/Technology,3.0
Data Engineer,Sr. Technician I,The Helicopter Company,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,information technology (it),3.0
Data Engineer,Sr. Technician I,The Helicopter Company,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,computer science,3.0
Data Engineer,Sr. Technician I,The Helicopter Company,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,engineering,3.0
Data Engineer,Sr. Technician I,The Helicopter Company,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,electrical engineering,3.0
Data Engineer,Sr. Technician I,The Helicopter Company,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,microsoft office,3.0
