search_query,job_title,company,loc,posting_recency,employment_type,work_arrangement_type,experience_lvl,years_of_experience,skill
Data Analyst,Middle Business Data Analyst - BI Engineer,Vertex Technologies  -,"Cairo,Egypt",18 days ago,Full Time,On-site,Experienced,·3+ Yrs of Exp,Databases
Data Analyst,Middle Business Data Analyst - BI Engineer,Vertex Technologies  -,"Cairo,Egypt",18 days ago,Full Time,On-site,Experienced,·3+ Yrs of Exp,· DWH
Data Analyst,Middle Business Data Analyst - BI Engineer,Vertex Technologies  -,"Cairo,Egypt",18 days ago,Full Time,On-site,Experienced,·3+ Yrs of Exp,· SQL
Data Analyst,Middle Business Data Analyst - BI Engineer,Vertex Technologies  -,"Cairo,Egypt",18 days ago,Full Time,On-site,Experienced,·3+ Yrs of Exp,· ETL Processes
Data Analyst,Middle Business Data Analyst - BI Engineer,Vertex Technologies  -,"Cairo,Egypt",18 days ago,Full Time,On-site,Experienced,·3+ Yrs of Exp,Data Mining
Data Analyst,Data Analyst Specialist,OPPO Egypt  -,"Nasr City,Cairo,Egypt",20 days ago,Full Time,On-site,Entry Level,·1 - 2 Yrs of Exp,·Analyst/Research
Data Analyst,Data Analyst Specialist,OPPO Egypt  -,"Nasr City,Cairo,Egypt",20 days ago,Full Time,On-site,Entry Level,·1 - 2 Yrs of Exp,Data Analysis
Data Analyst,Data Analyst Specialist,OPPO Egypt  -,"Nasr City,Cairo,Egypt",20 days ago,Full Time,On-site,Entry Level,·1 - 2 Yrs of Exp,Data Visualization
Data Analyst,Data Analyst Specialist,OPPO Egypt  -,"Nasr City,Cairo,Egypt",20 days ago,Full Time,On-site,Entry Level,·1 - 2 Yrs of Exp,· Excel
Data Analyst,Data Analyst Specialist,OPPO Egypt  -,"Nasr City,Cairo,Egypt",20 days ago,Full Time,On-site,Entry Level,·1 - 2 Yrs of Exp,· Business Intelligence
Data Analyst,Data Analyst Specialist,OPPO Egypt  -,"Nasr City,Cairo,Egypt",20 days ago,Full Time,On-site,Entry Level,·1 - 2 Yrs of Exp,· Statistical Analysis
Data Analyst,Data Analyst Specialist,OPPO Egypt  -,"Nasr City,Cairo,Egypt",20 days ago,Full Time,On-site,Entry Level,·1 - 2 Yrs of Exp,· Problem Solving
Data Analyst,Data Analyst Specialist,OPPO Egypt  -,"Nasr City,Cairo,Egypt",20 days ago,Full Time,On-site,Entry Level,·1 - 2 Yrs of Exp,· Communication
Data Analyst,Data Analyst Specialist,OPPO Egypt  -,"Nasr City,Cairo,Egypt",20 days ago,Full Time,On-site,Entry Level,·1 - 2 Yrs of Exp,· Reporting
Data Analyst,Data Analyst Specialist,OPPO Egypt  -,"Nasr City,Cairo,Egypt",20 days ago,Full Time,On-site,Entry Level,·1 - 2 Yrs of Exp,· Python
Data Analyst,Senior (Associate) Financial Analyst,PRE Group -,"New Cairo,Cairo,Egypt",5 days ago,Full Time,On-site,Experienced,·3 - 7 Yrs of Exp,·Accounting/Finance
Data Analyst,Senior (Associate) Financial Analyst,PRE Group -,"New Cairo,Cairo,Egypt",5 days ago,Full Time,On-site,Experienced,·3 - 7 Yrs of Exp,·Analyst/Research
Data Analyst,Senior (Associate) Financial Analyst,PRE Group -,"New Cairo,Cairo,Egypt",5 days ago,Full Time,On-site,Experienced,·3 - 7 Yrs of Exp,· Investment
